Country,WHO Region,adult_daly,child_daly,retention_pct,adult_cov,child_cov,actual_3TC,actual_ABC,actual_AZT,actual_ddl,actual_d4T,actual_EFV,actual_FTC,actual_LPV/r,actual_NVP,actual_TDF,actual_ATV/r,calc_3TC,calc_ABC,calc_AZT,calc_ddl,calc_d4T,calc_EFV,calc_FTC,calc_LPV/r,calc_NVP,calc_TDF,calc_ATV/r
Cape Verde,AFR,4797.9,286.2016,96.0,0.3583525923,0.0,14.04686789,0.05609492273,5.225414719,0.0,0.0,10.8657228,3.95592775,1.179336939,5.737089208,13.12201527,0.2206466974,14.046867890434484,0.05609492272082745,5.225414718119769,0.0,0.0,10.865722796652658,3.9559277492299167,1.1793369387384,5.737089206870811,12.745833368580579,0.22064669740253479
Central African Republic,AFR,379740.6,61045.54,97.14,0.2386455254,0.25,620.3770087,33.74666072,255.7911015,0.952325034,4.869860915,420.4892667,146.2771506,66.91535921,271.7605361,488.3886384,8.31167615,620.3770086632005,33.74666071969676,255.79110153244199,0.9523250339653533,4.869860914689523,420.48926666973534,146.27715055646664,66.91535921269814,271.7605361132239,474.22097458743974,8.311676149995026
Chad,AFR,382228.3,131695.4,97.14,0.377897708,0.22,1037.427118,63.29751736,430.8924667,1.807741483,9.240226442,693.9033753,238.3712877,113.7295092,456.4724464,798.4337679,13.25471593,1037.4271180008525,63.29751736318044,430.89246662681524,1.8077414831234178,9.240226442167994,693.9033752660479,238.3712876961558,113.72950914826927,456.4724463974484,775.8349501228495,13.254715931399089
Chile,AMR,21219.3,684.7186,97.0,0.8655387793,0.0,123.016006,0.4497354048,44.71988757,0.0,0.0,96.85799868,34.50956765,9.57268735,49.32381812,115.5749441,1.771069453,123.01600595397838,0.4497354048210258,44.71988757254268,0.0,0.0,96.85799868480278,34.50956765471491,9.572687350199857,49.32381812079569,112.55275587439921,1.7710694528949482
China,WPR,1793457.0,117566.9,87.0,0.2518046743,0.0,11785.55032,47.87772346,4402.36108,0.0,0.0,9084.848647,3320.226164,1004.004471,4828.644477,10997.42725,188.2788858,11785.550315164644,47.87772345196312,4402.361079439489,0.0,0.0,9084.848645516848,3320.2261628978317,1004.0044705060893,4828.6444763101745,10676.4891827831,188.27888572936243
Colombia,AMR,111581.6,6073.543,68.0,1.0,0.0,8179.975227,29.15041461,2952.226692,0.0,0.0,6473.204508,2290.530958,622.5331134,3259.938029,7697.880651,114.8305337,8179.975226951585,29.150414613809673,2952.226691752529,0.0,0.0,6473.204508397103,2290.530958026354,622.5331133726811,3259.9380294585762,7501.885352347021,114.83053374958034
Comoros,AFR,877.152,135.2929,97.14,0.3583525923,0.0,1.836154434,0.007332520096,0.6830468173,0.0,0.0,1.420326955,0.5171041925,0.1541585474,0.7499310073,1.715261132,0.02884211733,1.836154433947921,0.007332520094814346,0.6830468171787983,0.0,0.0,1.420326954502714,0.5171041924636093,0.15415854737679177,0.749931007205106,1.6660880302019203,0.028842117326918056
Congo,AFR,203664.3,68989.94,97.14,0.3583525923,0.0,426.3333009,1.702524275,158.5953768,0.0,0.0,329.7830878,120.0654657,35.7937879,174.1250931,398.2633086,6.69679786,426.3333008211799,1.7025242744088795,158.5953767282614,0.0,0.0,329.7830877201752,120.06546571764787,35.79378789595319,174.12509306337202,386.84589718709293,6.696797859327274
Costa Rica,AMR,6931.142,460.2796,97.14,0.5647759027,0.53,25.39057497,0.6071193776,9.804784269,0.0152383926,0.07823579623,18.77615151,6.66067702,2.296320777,10.63247871,22.23095202,0.3594649662,25.390574967487733,0.6071193775861429,9.804784268170991,0.015238392599341405,0.07823579622914552,18.7761515058618,6.660677019075077,2.296320777063774,10.632478709638699,21.61787676555356,0.3594649661613291
Cote d'Ivoire,AFR,978347.4,266722.7,76.0,0.3583525923,0.24,20739.84012,1181.281993,8560.507577,33.51904289,171.3804424,14012.35091,4839.957017,2238.183444,9088.264148,16193.84639,269.9545085,20739.840116452106,1181.2819929866366,8560.507575859492,33.51904289010399,171.38044236947863,14012.35090745286,4839.957016253286,2238.183444195582,9088.264147168396,15733.599304976511,269.9545085004148
Croatia,EUR,276.0722,21.32453,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,AMR,15270.3,712.7452,96.0,0.6918382843,0.95,98.76440227,2.409552465,38.32884227,0.05924748556,0.3060308203,72.84099246,25.68430701,8.761280268,41.54015781,85.93616343,1.357461268,98.76440227568149,2.409552464926348,38.328842272605335,0.059247485558741805,0.3060308203010941,72.84099245922852,25.684307009278438,8.761280268698922,41.54015781224716,83.6204690802927,1.3574612680883527
Cyprus,EUR,159.06,0.86717,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EUR,648.4643,56.03869,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,AFR,1478999.0,547783.6,86.0,0.3442309608,0.22,18412.1731,1278.33138,7772.995767,36.80753611,188.1408219,12017.7445,4090.624926,2094.368629,8193.817083,13719.17557,228.664484,18412.173102969617,1278.331380203564,7772.9957670962385,36.80753610629851,188.140821890545,12017.74450259587,4090.624925660284,2094.3686288151716,8193.8170831344,13329.333724698166,228.66448397785706
Denmark,EUR,1569.254,26.83577,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
